iter	RMSE
0	0.09928388661
1	0.09880108753
2	0.09834032023
3	0.09788095016
4	0.09751717001
5	0.09712154331
6	0.09679679579
7	0.09652542945
8	0.09616309832
9	0.095872417
10	0.09552741938
11	0.09532522951
12	0.09507921533
13	0.09483778959
14	0.0946171665
15	0.09435498312
16	0.09411458831
17	0.0939418601
18	0.09373479821
19	0.09359017669
20	0.09341780534
21	0.09325978341
22	0.09306939478
23	0.09295751091
24	0.09282995629
25	0.09272509744
26	0.09257102085
27	0.09249083707
28	0.09238720581
29	0.0922517797
30	0.09212165654
31	0.09200791001
32	0.09188141387
33	0.09175092413
34	0.09163270116
35	0.09153649119
36	0.09141723538
37	0.09133735834
38	0.09118642844
39	0.09105030586
40	0.09097776578
41	0.09088971745
42	0.09078689144
43	0.09075492934
44	0.09066112654
45	0.09055783908
46	0.09050145622
47	0.09040034961
48	0.09034861655
49	0.09021141742
50	0.09012914946
51	0.08998163766
52	0.08991118766
53	0.08981039294
54	0.089765279
55	0.08965598246
56	0.08959820075
57	0.08950138125
58	0.0894525537
59	0.08938144426
60	0.08927424913
61	0.08922086132
62	0.08912147028
63	0.0890615703
64	0.08900990737
65	0.08894167214
66	0.08887712166
67	0.08879907375
68	0.08874986745
69	0.08871106135
70	0.08866044674
71	0.08859222515
72	0.08851623252
73	0.08845909952
74	0.08840627262
75	0.08834056059
76	0.08829263263
77	0.08824075356
78	0.0882058422
79	0.08812779912
80	0.08809109041
81	0.08801023735
82	0.08796059361
83	0.08792732306
84	0.08790241388
85	0.08787536317
86	0.08782400478
87	0.08775727419
88	0.08772022516
89	0.08763146536
90	0.0875770529
91	0.08754570179
92	0.08751505129
93	0.0874945059
94	0.08740683001
95	0.08735718831
96	0.08731060128
97	0.08727475922
98	0.08722788364
99	0.08716888083
100	0.08714209585
101	0.08705343888
102	0.08702492601
103	0.08694768427
104	0.08692456264
105	0.08688935625
106	0.08685472421
107	0.08680546493
108	0.08674670562
109	0.0866977013
110	0.08660969572
111	0.0865616034
112	0.08651605159
113	0.08648134836
114	0.08644285164
115	0.08640437696
116	0.08631799823
117	0.08629546117
118	0.08626226665
119	0.08622920071
120	0.08619387134
121	0.08616003646
122	0.08613712397
123	0.08609417514
124	0.0860613554
125	0.08602219842
126	0.08596632628
127	0.08593767729
128	0.08589888962
129	0.08586552996
130	0.08581769526
131	0.08578840859
132	0.08576339138
133	0.08574294354
134	0.08569528536
135	0.08567761912
136	0.08564351307
137	0.08562208758
138	0.08559198637
139	0.08556030756
140	0.08551444805
141	0.08548927147
142	0.0854739037
143	0.08542595274
144	0.08539339162
145	0.0853588071
146	0.08532905344
147	0.08529466115
148	0.08525765391
149	0.08522858397
150	0.08517330426
151	0.085142261
152	0.08510859284
153	0.08508923706
154	0.08502695041
155	0.08499134039
156	0.0849634306
157	0.08491928214
158	0.08490298175
159	0.0847971924
160	0.08475549002
161	0.08471298376
162	0.08467201565
163	0.08465026028
164	0.08462321023
165	0.08460149833
166	0.08457428456
167	0.08451821638
168	0.08442942275
169	0.08440685075
170	0.08436557747
171	0.08433954008
172	0.0843136874
173	0.08429863949
174	0.08427998551
175	0.08425081533
176	0.08422532534
177	0.08417204557
178	0.08415008449
179	0.08408926436
180	0.08404389934
181	0.08403045107
182	0.08398134537
183	0.08396261283
184	0.08394594115
185	0.08391371355
186	0.08387689626
187	0.08386364325
188	0.08383788613
189	0.08379185974
190	0.08377181982
191	0.08372134518
192	0.08370023262
193	0.08364043334
194	0.08361730823
195	0.08359902872
196	0.08357180857
197	0.08355034214
198	0.08353472305
199	0.08350496006
